date_jst,BTC,GOLD,US10Y,SP500
2022-07-11 09:00:00+09:00,-1.420470,-2.646551,0.928074,-1.284115
2022-07-12 09:00:00+09:00,-1.533644,-2.737322,0.929936,-1.524019
2022-07-13 09:00:00+09:00,-1.386027,-2.512365,1.376615,-1.416581
2022-07-14 09:00:00+09:00,-1.377047,-2.739648,1.184588,-1.441546
2022-07-15 09:00:00+09:00,-1.337318,-2.707116,1.298537,-1.195969
2022-07-16 09:00:00+09:00,-1.258358,-2.657455,1.296298,-1.186888
2022-07-17 09:00:00+09:00,-1.353990,-2.699630,1.392574,-1.175396
2022-07-18 09:00:00+09:00,-1.216025,-2.391174,1.513296,-1.465918
2022-07-19 09:00:00+09:00,-1.115265,-2.322154,1.094098,-1.110371
2022-07-20 09:00:00+09:00,-1.079885,-2.322775,1.245034,-0.838589
2022-07-21 09:00:00+09:00,-1.033746,-2.071851,1.602686,-0.333741
2022-07-22 09:00:00+09:00,-1.062936,-1.922755,1.973857,-0.453705
2022-07-23 09:00:00+09:00,-1.085968,-1.900441,1.955397,-0.448101
2022-07-24 09:00:00+09:00,-1.130465,-1.586370,1.724820,-0.518341
2022-07-25 09:00:00+09:00,-1.122173,-1.704803,1.375516,-0.107701
2022-07-26 09:00:00+09:00,-1.205746,-1.577748,1.562560,-0.289732
2022-07-27 09:00:00+09:00,-1.039051,-1.572460,1.664724,-0.264854
2022-07-28 09:00:00+09:00,-0.842586,-1.452078,2.146297,0.433900
2022-07-29 09:00:00+09:00,-0.773205,-1.332619,2.134781,0.646239
2022-07-30 09:00:00+09:00,-0.843103,-1.321316,2.111201,0.652057
2022-07-31 09:00:00+09:00,-0.880349,-0.931491,2.326463,0.573270
2022-08-01 09:00:00+09:00,-0.818014,-0.931022,2.442293,0.465114
2022-08-02 09:00:00+09:00,-0.995646,-0.893435,1.771120,-0.052741
2022-08-03 09:00:00+09:00,-0.771088,-1.058005,2.196464,0.711778
2022-08-04 09:00:00+09:00,-0.749273,-0.851003,2.501443,0.789973
2022-08-05 09:00:00+09:00,-0.607520,-0.980588,2.022683,0.766631
2022-08-06 09:00:00+09:00,-0.513382,-0.976363,2.003579,0.767991
2022-08-07 09:00:00+09:00,-0.062663,-0.776759,1.762523,1.267288
2022-08-08 09:00:00+09:00,-0.041717,-0.511138,1.824609,1.208748
